Year,Code,Team,Ranking Group Abbreviation,Ranking Group,Date,Rank
cf2006    ,    3484, Indiana             , ARG, ARGH                ,   20060801,   74
cf2006    ,    5316, Nevada              , ARG, ARGH                ,   20060801,   75
cf2006    ,    4936, Mississippi St      , ARG, ARGH                ,   20060801,   76
cf2006    ,      66, Akron               , ARG, ARGH                ,   20060801,   77
cf2006    ,    4436, Marshall            , ARG, ARGH                ,   20060801,   78
cf2006    ,     821, Bowling Green       , ARG, ARGH                ,   20060801,   79
cf2006    ,    3347, Houston             , ARG, ARGH                ,   20060801,   80
cf2006    ,    3197, Hawaii              , ARG, ARGH                ,   20060801,   81
cf2006    ,    8367, Vanderbilt          , ARG, ARGH                ,   20060801,   82
cf2006    ,    7002, San Diego St        , ARG, ARGH                ,   20060801,   83
cf2006    ,    1404, C Michigan          , ARG, ARGH                ,   20060801,   84
cf2006    ,    4218, Louisiana Tech      , ARG, ARGH                ,   20060801,   85
cf2006    ,    3781, Kentucky            , ARG, ARGH                ,   20060801,   86
cf2006    ,      87, UAB                 , ARG, ARGH                ,   20060801,   87
cf2006    ,    2292, East Carolina       , ARG, ARGH                ,   20060801,   88
cf2006    ,    4725, Miami OH            , ARG, ARGH                ,   20060801,   89
cf2006    ,    8767, W Michigan          , ARG, ARGH                ,   20060801,   90
cf2006    ,    8551, Washington          , ARG, ARGH                ,   20060801,   91
cf2006    ,      55, Air Force           , ARG, ARGH                ,   20060801,   92
cf2006    ,     501, Ball St             , ARG, ARGH                ,   20060801,   93
cf2006    ,    9162, Wyoming             , ARG, ARGH                ,   20060801,   94
cf2006    ,     356, Army                , ARG, ARGH                ,   20060801,   95
cf2006    ,    4920, Mississippi         , ARG, ARGH                ,   20060801,   96
cf2006    ,    5825, Ohio                , ARG, ARGH                ,   20060801,   97
cf2006    ,    7358, SMU                 , ARG, ARGH                ,   20060801,   98
cf2006    ,    4194, ULL                 , ARG, ARGH                ,   20060801,   99
cf2006    ,    7729, Syracuse            , ARG, ARGH                ,   20060801,  100
cf2006    ,    2353, E Michigan          , ARG, ARGH                ,   20060801,  101
cf2006    ,    2265, Duke                , ARG, ARGH                ,   20060801,  102
cf2006    ,    4785, MTSU                , ARG, ARGH                ,   20060801,  103
cf2006    ,    8068, Troy                , ARG, ARGH                ,   20060801,  104
cf2006    ,     333, Arkansas St         , ARG, ARGH                ,   20060801,  105
cf2006    ,    5323, UNLV                , ARG, ARGH                ,   20060801,  106
cf2006    ,    6535, Rice                , ARG, ARGH                ,   20060801,  107
cf2006    ,    8092, Tulane              , ARG, ARGH                ,   20060801,  108
cf2006    ,    8325, Utah St             , ARG, ARGH                ,   20060801,  109
cf2006    ,    5584, North Texas         , ARG, ARGH                ,   20060801,  110
cf2006    ,    4200, ULM                 , ARG, ARGH                ,   20060801,  111
cf2006    ,    7024, San Jose St         , ARG, ARGH                ,   20060801,  112
cf2006    ,    3771, Kent                , ARG, ARGH                ,   20060801,  113
cf2006    ,    3415, Idaho               , ARG, ARGH                ,   20060801,  114
cf2006    ,    2652, Florida Intl        , ARG, ARGH                ,   20060801,  115
cf2006    ,    2638, FL Atlantic         , ARG, ARGH                ,   20060801,  116
cf2006    ,    5387, New Mexico St       , ARG, ARGH                ,   20060801,  117
cf2006    ,     979, Buffalo             , ARG, ARGH                ,   20060801,  118
cf2006    ,    7788, Temple              , ARG, ARGH                ,   20060801,  119
cf2006    ,    7840, Texas               , ARG, ARGH                ,   20060904,    1
cf2006    ,    8251, USC                 , ARG, ARGH                ,   20060904,    2
cf2006    ,    5850, Ohio St             , ARG, ARGH                ,   20060904,    3
cf2006    ,     402, Auburn              , ARG, ARGH                ,   20060904,    4
cf2006    ,    4206, LSU                 , ARG, ARGH                ,   20060904,    5
cf2006    ,    8459, Virginia Tech       , ARG, ARGH                ,   20060904,    6
cf2006    ,    6114, Penn St             , ARG, ARGH                ,   20060904,    7
cf2006    ,    5749, Notre Dame          , ARG, ARGH                ,   20060904,    8
cf2006    ,    4741, Michigan            , ARG, ARGH                ,   20060904,    9
cf2006    ,    5886, Oklahoma            , ARG, ARGH                ,   20060904,   10
cf2006    ,    2625, Florida             , ARG, ARGH                ,   20060904,   11
cf2006    ,    4224, Louisville          , ARG, ARGH                ,   20060904,   12
cf2006    ,    8716, West Virginia       , ARG, ARGH                ,   20060904,   13
cf2006    ,    4719, Miami FL            , ARG, ARGH                ,   20060904,   14
cf2006    ,    2666, Florida St          , ARG, ARGH                ,   20060904,   15
cf2006    ,     783, Boston College      , ARG, ARGH                ,   20060904,   16
cf2006    ,      74, Alabama             , ARG, ARGH                ,   20060904,   17
cf2006    ,    2881, Georgia             , ARG, ARGH                ,   20060904,   18
cf2006    ,    7918, Texas Tech          , ARG, ARGH                ,   20060904,   19
cf2006    ,    7878, TCU                 , ARG, ARGH                ,   20060904,   20
cf2006    ,    3540, Iowa                , ARG, ARGH                ,   20060904,   21
cf2006    ,    9031, Wisconsin           , ARG, ARGH                ,   20060904,   22
cf2006    ,    1603, Clemson             , ARG, ARGH                ,   20060904,   23
cf2006    ,    5961, Oregon              , ARG, ARGH                ,   20060904,   24
cf2006    ,    4858, Minnesota           , ARG, ARGH                ,   20060904,   25
cf2006    ,    8141, UCLA                , ARG, ARGH                ,   20060904,   26
cf2006    ,    1098, California          , ARG, ARGH                ,   20060904,   27
cf2006    ,    5279, Nebraska            , ARG, ARGH                ,   20060904,   28
cf2006    ,     304, Arizona St          , ARG, ARGH                ,   20060904,   29
cf2006    ,    3554, Iowa St             , ARG, ARGH                ,   20060904,   30
cf2006    ,    2911, Georgia Tech        , ARG, ARGH                ,   20060904,   31
cf2006    ,    7801, Tennessee           , ARG, ARGH                ,   20060904,   32
cf2006    ,    4474, Maryland            , ARG, ARGH                ,   20060904,   33
cf2006    ,    7848, Texas A&M           , ARG, ARGH                ,   20060904,   34
cf2006    ,    7242, South Carolina      , ARG, ARGH                ,   20060904,   35
cf2006    ,     316, Arkansas            , ARG, ARGH                ,   20060904,   36
cf2006    ,    5704, Northwestern        , ARG, ARGH                ,   20060904,   37
cf2006    ,    5511, NC State            , ARG, ARGH                ,   20060904,   38
cf2006    ,    2776, Fresno St           , ARG, ARGH                ,   20060904,   39
cf2006    ,    4757, Michigan St         , ARG, ARGH                ,   20060904,   40
cf2006    ,    8315, Utah                , ARG, ARGH                ,   20060904,   41
cf2006    ,    8508, Wake Forest         , ARG, ARGH                ,   20060904,   42
cf2006    ,     771, Boise St            , ARG, ARGH                ,   20060904,   43
cf2006    ,    8099, Tulsa               , ARG, ARGH                ,   20060904,   44
cf2006    ,    6236, Pittsburgh          , ARG, ARGH                ,   20060904,   45
cf2006    ,    4948, Missouri            , ARG, ARGH                ,   20060904,   46
cf2006    ,    8432, Virginia            , ARG, ARGH                ,   20060904,   47
cf2006    ,    7933, UTEP                , ARG, ARGH                ,   20060904,   48
cf2006    ,    6393, Purdue              , ARG, ARGH                ,   20060904,   49
cf2006    ,    7278, South Florida       , ARG, ARGH                ,   20060904,   50
cf2006    ,    5970, Oregon St           , ARG, ARGH                ,   20060904,   51
cf2006    ,    7582, Stanford            , ARG, ARGH                ,   20060904,   52
cf2006    ,    3717, Kansas              , ARG, ARGH                ,   20060904,   53
cf2006    ,    5492, North Carolina      , ARG, ARGH                ,   20060904,   54
cf2006    ,     294, Arizona             , ARG, ARGH                ,   20060904,   55
cf2006    ,    5634, N Illinois          , ARG, ARGH                ,   20060904,   56
cf2006    ,    6696, Rutgers             , ARG, ARGH                ,   20060904,   57
cf2006    ,    8588, Washington St       , ARG, ARGH                ,   20060904,   58
cf2006    ,    7978, Toledo              , ARG, ARGH                ,   20060904,   59
cf2006    ,    5253, Navy                , ARG, ARGH                ,   20060904,   60
cf2006    ,     891, BYU                 , ARG, ARGH                ,   20060904,   61
cf2006    ,    3731, Kansas St           , ARG, ARGH                ,   20060904,   62
cf2006    ,    7365, Southern Miss       , ARG, ARGH                ,   20060904,   63
cf2006    ,    1872, Connecticut         , ARG, ARGH                ,   20060904,   64
cf2006    ,    5912, Oklahoma St         , ARG, ARGH                ,   20060904,   65
cf2006    ,    1715, Colorado            , ARG, ARGH                ,   20060904,   66
cf2006    ,    3484, Indiana             , ARG, ARGH                ,   20060904,   67
cf2006    ,    1529, Cincinnati          , ARG, ARGH                ,   20060904,   68
cf2006    ,    3425, Illinois            , ARG, ARGH                ,   20060904,   69
cf2006    ,    1753, Colorado St         , ARG, ARGH                ,   20060904,   70
cf2006    ,    1380, UCF                 , ARG, ARGH                ,   20060904,   71
cf2006    ,     557, Baylor              , ARG, ARGH                ,   20060904,   72
cf2006    ,    5316, Nevada              , ARG, ARGH                ,   20060904,   73
cf2006    ,    3347, Houston             , ARG, ARGH                ,   20060904,   74
cf2006    ,      66, Akron               , ARG, ARGH                ,   20060904,   75
cf2006    ,    4636, Memphis             , ARG, ARGH                ,   20060904,   76
cf2006    ,    3197, Hawaii              , ARG, ARGH                ,   20060904,   77
cf2006    ,    4436, Marshall            , ARG, ARGH                ,   20060904,   78
cf2006    ,     821, Bowling Green       , ARG, ARGH                ,   20060904,   79
cf2006    ,    8367, Vanderbilt          , ARG, ARGH                ,   20060904,   80
cf2006    ,      87, UAB                 , ARG, ARGH                ,   20060904,   81
cf2006    ,    3781, Kentucky            , ARG, ARGH                ,   20060904,   82
cf2006    ,    1404, C Michigan          , ARG, ARGH                ,   20060904,   83
cf2006    ,    4936, Mississippi St      , ARG, ARGH                ,   20060904,   84
cf2006    ,    7002, San Diego St        , ARG, ARGH                ,   20060904,   85
cf2006    ,     501, Ball St             , ARG, ARGH                ,   20060904,   86
cf2006    ,    4218, Louisiana Tech      , ARG, ARGH                ,   20060904,   87
cf2006    ,    8551, Washington          , ARG, ARGH                ,   20060904,   88
cf2006    ,    9162, Wyoming             , ARG, ARGH                ,   20060904,   89
cf2006    ,    2292, East Carolina       , ARG, ARGH                ,   20060904,   90
cf2006    ,    5371, New Mexico          , ARG, ARGH                ,   20060904,   91
cf2006    ,    4920, Mississippi         , ARG, ARGH                ,   20060904,   92
cf2006    ,      55, Air Force           , ARG, ARGH                ,   20060904,   93
cf2006    ,    4725, Miami OH            , ARG, ARGH                ,   20060904,   94
cf2006    ,    8767, W Michigan          , ARG, ARGH                ,   20060904,   95
cf2006    ,    5825, Ohio                , ARG, ARGH                ,   20060904,   96
cf2006    ,     356, Army                , ARG, ARGH                ,   20060904,   97
cf2006    ,    7358, SMU                 , ARG, ARGH                ,   20060904,   98
cf2006    ,    4194, ULL                 , ARG, ARGH                ,   20060904,   99
cf2006    ,    7729, Syracuse            , ARG, ARGH                ,   20060904,  100
cf2006    ,    8068, Troy                , ARG, ARGH                ,   20060904,  101
cf2006    ,     333, Arkansas St         , ARG, ARGH                ,   20060904,  102
cf2006    ,    4785, MTSU                , ARG, ARGH                ,   20060904,  103
cf2006    ,    5323, UNLV                , ARG, ARGH                ,   20060904,  104
cf2006    ,    2353, E Michigan          , ARG, ARGH                ,   20060904,  105
cf2006    ,    4200, ULM                 , ARG, ARGH                ,   20060904,  106
cf2006    ,    5584, North Texas         , ARG, ARGH                ,   20060904,  107
cf2006    ,    6535, Rice                , ARG, ARGH                ,   20060904,  108
cf2006    ,    2265, Duke                , ARG, ARGH                ,   20060904,  109
cf2006    ,    8092, Tulane              , ARG, ARGH                ,   20060904,  110
cf2006    ,    8325, Utah St             , ARG, ARGH                ,   20060904,  111
cf2006    ,    3415, Idaho               , ARG, ARGH                ,   20060904,  112
cf2006    ,    7024, San Jose St         , ARG, ARGH                ,   20060904,  113
cf2006    ,    3771, Kent                , ARG, ARGH                ,   20060904,  114
cf2006    ,    2652, Florida Intl        , ARG, ARGH                ,   20060904,  115
cf2006    ,    2638, FL Atlantic         , ARG, ARGH                ,   20060904,  116
cf2006    ,    5387, New Mexico St       , ARG, ARGH                ,   20060904,  117
cf2006    ,     979, Buffalo             , ARG, ARGH                ,   20060904,  118
cf2006    ,    7788, Temple              , ARG, ARGH                ,   20060904,  119
cf2006    ,    5850, Ohio St             , ARG, ARGH                ,   20060909,    1
cf2006    ,    8251, USC                 , ARG, ARGH                ,   20060909,    2
cf2006    ,     402, Auburn              , ARG, ARGH                ,   20060909,    3
cf2006    ,    7840, Texas               , ARG, ARGH                ,   20060909,    4
cf2006    ,    5749, Notre Dame          , ARG, ARGH                ,   20060909,    5
cf2006    ,    4206, LSU                 , ARG, ARGH                ,   20060909,    6
cf2006    ,    8459, Virginia Tech       , ARG, ARGH                ,   20060909,    7
cf2006    ,    4741, Michigan            , ARG, ARGH                ,   20060909,    8
cf2006    ,    2625, Florida             , ARG, ARGH                ,   20060909,    9
cf2006    ,     783, Boston College      , ARG, ARGH                ,   20060909,   10
cf2006    ,    2881, Georgia             , ARG, ARGH                ,   20060909,   11
cf2006    ,    5886, Oklahoma            , ARG, ARGH                ,   20060909,   12
cf2006    ,      74, Alabama             , ARG, ARGH                ,   20060909,   13
cf2006    ,    7918, Texas Tech          , ARG, ARGH                ,   20060909,   14
cf2006    ,    2666, Florida St          , ARG, ARGH                ,   20060909,   15
cf2006    ,    5961, Oregon              , ARG, ARGH                ,   20060909,   16
cf2006    ,    4224, Louisville          , ARG, ARGH                ,   20060909,   17
cf2006    ,    8716, West Virginia       , ARG, ARGH                ,   20060909,   18
cf2006    ,    6114, Penn St             , ARG, ARGH                ,   20060909,   19
cf2006    ,    4719, Miami FL            , ARG, ARGH                ,   20060909,   20
cf2006    ,    3540, Iowa                , ARG, ARGH                ,   20060909,   21
cf2006    ,    7878, TCU                 , ARG, ARGH                ,   20060909,   22
cf2006    ,    1603, Clemson             , ARG, ARGH                ,   20060909,   23
cf2006    ,    9031, Wisconsin           , ARG, ARGH                ,   20060909,   24
cf2006    ,    1098, California          , ARG, ARGH                ,   20060909,   25
cf2006    ,    8141, UCLA                , ARG, ARGH                ,   20060909,   26
cf2006    ,    5279, Nebraska            , ARG, ARGH                ,   20060909,   27
cf2006    ,    7801, Tennessee           , ARG, ARGH                ,   20060909,   28
cf2006    ,     304, Arizona St          , ARG, ARGH                ,   20060909,   29
cf2006    ,    4858, Minnesota           , ARG, ARGH                ,   20060909,   30
cf2006    ,    7848, Texas A&M           , ARG, ARGH                ,   20060909,   31
cf2006    ,    2911, Georgia Tech        , ARG, ARGH                ,   20060909,   32
cf2006    ,    6236, Pittsburgh          , ARG, ARGH                ,   20060909,   33
cf2006    ,     771, Boise St            , ARG, ARGH                ,   20060909,   34
cf2006    ,    3554, Iowa St             , ARG, ARGH                ,   20060909,   35
cf2006    ,    4474, Maryland            , ARG, ARGH                ,   20060909,   36
cf2006    ,    4757, Michigan St         , ARG, ARGH                ,   20060909,   37
cf2006    ,    6696, Rutgers             , ARG, ARGH                ,   20060909,   38
cf2006    ,    4948, Missouri            , ARG, ARGH                ,   20060909,   39
cf2006    ,    2776, Fresno St           , ARG, ARGH                ,   20060909,   40
cf2006    ,    8315, Utah                , ARG, ARGH                ,   20060909,   41
cf2006    ,    8508, Wake Forest         , ARG, ARGH                ,   20060909,   42
cf2006    ,     316, Arkansas            , ARG, ARGH                ,   20060909,   43
cf2006    ,    7242, South Carolina      , ARG, ARGH                ,   20060909,   44
cf2006    ,     891, BYU                 , ARG, ARGH                ,   20060909,   45
cf2006    ,    7933, UTEP                , ARG, ARGH                ,   20060909,   46
cf2006    ,    6393, Purdue              , ARG, ARGH                ,   20060909,   47
cf2006    ,    8588, Washington St       , ARG, ARGH                ,   20060909,   48
cf2006    ,    5912, Oklahoma St         , ARG, ARGH                ,   20060909,   49
cf2006    ,    7278, South Florida       , ARG, ARGH                ,   20060909,   50
cf2006    ,    3731, Kansas St           , ARG, ARGH                ,   20060909,   51
cf2006    ,    5511, NC State            , ARG, ARGH                ,   20060909,   52
cf2006    ,    3717, Kansas              , ARG, ARGH                ,   20060909,   53
cf2006    ,    3484, Indiana             , ARG, ARGH                ,   20060909,   54
cf2006    ,    8432, Virginia            , ARG, ARGH                ,   20060909,   55
cf2006    ,    8099, Tulsa               , ARG, ARGH                ,   20060909,   56
cf2006    ,    7365, Southern Miss       , ARG, ARGH                ,   20060909,   57
cf2006    ,    5970, Oregon St           , ARG, ARGH                ,   20060909,   58
cf2006    ,    1753, Colorado St         , ARG, ARGH                ,   20060909,   59
cf2006    ,    1872, Connecticut         , ARG, ARGH                ,   20060909,   60
cf2006    ,    3347, Houston             , ARG, ARGH                ,   20060909,   61
cf2006    ,     294, Arizona             , ARG, ARGH                ,   20060909,   62
cf2006    ,    5253, Navy                , ARG, ARGH                ,   20060909,   63
cf2006    ,      66, Akron               , ARG, ARGH                ,   20060909,   64
cf2006    ,    5704, Northwestern        , ARG, ARGH                ,   20060909,   65
cf2006    ,    5825, Ohio                , ARG, ARGH                ,   20060909,   66
cf2006    ,     557, Baylor              , ARG, ARGH                ,   20060909,   67
cf2006    ,    7582, Stanford            , ARG, ARGH                ,   20060909,   68
cf2006    ,    5634, N Illinois          , ARG, ARGH                ,   20060909,   69
cf2006    ,    5492, North Carolina      , ARG, ARGH                ,   20060909,   70
cf2006    ,    1529, Cincinnati          , ARG, ARGH                ,   20060909,   71
cf2006    ,      87, UAB                 , ARG, ARGH                ,   20060909,   72
cf2006    ,    7978, Toledo              , ARG, ARGH                ,   20060909,   73
cf2006    ,    9162, Wyoming             , ARG, ARGH                ,   20060909,   74
cf2006    ,    3425, Illinois            , ARG, ARGH                ,   20060909,   75
cf2006    ,    3197, Hawaii              , ARG, ARGH                ,   20060909,   76
cf2006    ,    8767, W Michigan          , ARG, ARGH                ,   20060909,   77
cf2006    ,    1380, UCF                 , ARG, ARGH                ,   20060909,   78
cf2006    ,    8551, Washington          , ARG, ARGH                ,   20060909,   79
cf2006    ,    8367, Vanderbilt          , ARG, ARGH                ,   20060909,   80
cf2006    ,    4636, Memphis             , ARG, ARGH                ,   20060909,   81
cf2006    ,    1404, C Michigan          , ARG, ARGH                ,   20060909,   82
cf2006    ,    4436, Marshall            , ARG, ARGH                ,   20060909,   83
cf2006    ,    3781, Kentucky            , ARG, ARGH                ,   20060909,   84
cf2006    ,    7002, San Diego St        , ARG, ARGH                ,   20060909,   85
cf2006    ,    5316, Nevada              , ARG, ARGH                ,   20060909,   86
cf2006    ,     501, Ball St             , ARG, ARGH                ,   20060909,   87
cf2006    ,     821, Bowling Green       , ARG, ARGH                ,   20060909,   88
cf2006    ,      55, Air Force           , ARG, ARGH                ,   20060909,   89
cf2006    ,    4218, Louisiana Tech      , ARG, ARGH                ,   20060909,   90
cf2006    ,    8068, Troy                , ARG, ARGH                ,   20060909,   91
cf2006    ,    1715, Colorado            , ARG, ARGH                ,   20060909,   92
cf2006    ,    4936, Mississippi St      , ARG, ARGH                ,   20060909,   93
cf2006    ,    5371, New Mexico          , ARG, ARGH                ,   20060909,   94
cf2006    ,    5323, UNLV                , ARG, ARGH                ,   20060909,   95
cf2006    ,    2292, East Carolina       , ARG, ARGH                ,   20060909,   96
cf2006    ,    4920, Mississippi         , ARG, ARGH                ,   20060909,   97
cf2006    ,     356, Army                , ARG, ARGH                ,   20060909,   98
cf2006    ,    5584, North Texas         , ARG, ARGH                ,   20060909,   99
cf2006    ,    4725, Miami OH            , ARG, ARGH                ,   20060909,  100
cf2006    ,    7024, San Jose St         , ARG, ARGH                ,   20060909,  101
cf2006    ,    4194, ULL                 , ARG, ARGH                ,   20060909,  102
cf2006    ,    4200, ULM                 , ARG, ARGH                ,   20060909,  103
cf2006    ,    7729, Syracuse            , ARG, ARGH                ,   20060909,  104
cf2006    ,    7358, SMU                 , ARG, ARGH                ,   20060909,  105
cf2006    ,    4785, MTSU                , ARG, ARGH                ,   20060909,  106
cf2006    ,    6535, Rice                , ARG, ARGH                ,   20060909,  107
cf2006    ,     333, Arkansas St         , ARG, ARGH                ,   20060909,  108
cf2006    ,    2353, E Michigan          , ARG, ARGH                ,   20060909,  109
cf2006    ,    8092, Tulane              , ARG, ARGH                ,   20060909,  110
cf2006    ,    2652, Florida Intl        , ARG, ARGH                ,   20060909,  111
cf2006    ,    8325, Utah St             , ARG, ARGH                ,   20060909,  112
cf2006    ,    3415, Idaho               , ARG, ARGH                ,   20060909,  113
cf2006    ,    2265, Duke                , ARG, ARGH                ,   20060909,  114
cf2006    ,    5387, New Mexico St       , ARG, ARGH                ,   20060909,  115
cf2006    ,    2638, FL Atlantic         , ARG, ARGH                ,   20060909,  116
cf2006    ,     979, Buffalo             , ARG, ARGH                ,   20060909,  117
cf2006    ,    3771, Kent                , ARG, ARGH                ,   20060909,  118
cf2006    ,    7788, Temple              , ARG, ARGH                ,   20060909,  119
cf2006    ,     402, Auburn              , ARG, ARGH                ,   20060916,    1
cf2006    ,    8251, USC                 , ARG, ARGH                ,   20060916,    2
cf2006    ,    5850, Ohio St             , ARG, ARGH                ,   20060916,    3
cf2006    ,    4741, Michigan            , ARG, ARGH                ,   20060916,    4
cf2006    ,    2625, Florida             , ARG, ARGH                ,   20060916,    5
cf2006    ,    4206, LSU                 , ARG, ARGH                ,   20060916,    6
cf2006    ,    7840, Texas               , ARG, ARGH                ,   20060916,    7
cf2006    ,    4224, Louisville          , ARG, ARGH                ,   20060916,    8
cf2006    ,    8459, Virginia Tech       , ARG, ARGH                ,   20060916,    9
cf2006    ,     783, Boston College      , ARG, ARGH                ,   20060916,   10
cf2006    ,    2881, Georgia             , ARG, ARGH                ,   20060916,   11
cf2006    ,    7878, TCU                 , ARG, ARGH                ,   20060916,   12
cf2006    ,    5961, Oregon              , ARG, ARGH                ,   20060916,   13
cf2006    ,    8716, West Virginia       , ARG, ARGH                ,   20060916,   14
cf2006    ,      74, Alabama             , ARG, ARGH                ,   20060916,   15
cf2006    ,    3540, Iowa                , ARG, ARGH                ,   20060916,   16
cf2006    ,    5749, Notre Dame          , ARG, ARGH                ,   20060916,   17
cf2006    ,    1603, Clemson             , ARG, ARGH                ,   20060916,   18
cf2006    ,    9031, Wisconsin           , ARG, ARGH                ,   20060916,   19
cf2006    ,    5886, Oklahoma            , ARG, ARGH                ,   20060916,   20
cf2006    ,    7918, Texas Tech          , ARG, ARGH                ,   20060916,   21
cf2006    ,     771, Boise St            , ARG, ARGH                ,   20060916,   22
cf2006    ,    6114, Penn St             , ARG, ARGH                ,   20060916,   23
cf2006    ,     304, Arizona St          , ARG, ARGH                ,   20060916,   24
cf2006    ,    8141, UCLA                , ARG, ARGH                ,   20060916,   25
